promotion_id,book_id,store_id,promotion_budget,promotion_start_date,promotion_end_date,affiliate_link
1,a05cd1d6-25c5-49a4-8e78-60699104affd,10,132905.94,2025-07-05,2025-08-23,https://track.example.com/10/27fc11ff
2,42fad60b-665c-4982-8d6f-56eb8445472a,5,109349.37,2024-08-20,2024-08-27,https://track.example.com/5/0ad437b2
3,dc8929c8-e4cc-4c2a-a094-989fbbb77c3e,3,147238.73,2025-06-03,2025-07-22,https://track.example.com/3/a951db17
4,3f2799a6-e1cf-4512-bce4-2fd431e1ea29,12,67533.19,2024-08-25,2024-10-06,https://track.example.com/12/e1191998
5,e993b7ac-d737-4235-bfd1-0264a5f56ae0,5,94977.08,2025-05-08,2025-05-22,https://track.example.com/5/38f16b3b
6,ecc18468-58ea-46ca-960b-3ab251414507,2,19394.26,2025-08-23,2025-09-20,https://track.example.com/2/3b807905
7,580d5b0d-5d3c-4666-aae9-243933711ca8,3,157812.85,2024-07-06,2024-07-20,https://track.example.com/3/db5a2597
8,936624f2-4bce-4a21-8b04-473495b02a11,4,45242.72,2025-08-19,2025-09-30,https://track.example.com/4/b91b3d6b
9,d3c47885-e288-4d0a-b285-c49db0890b93,2,173047.05,2024-05-17,2024-06-21,https://track.example.com/2/b8feabe1
10,e604db0e-7d68-43f0-80c3-31b4c1452ad6,12,191331.48,2025-02-28,2025-04-18,https://track.example.com/12/00f1bc0d
11,1cbb274f-a628-4310-9f41-e45c3f5fd330,9,80229.38,2024-02-16,2024-04-05,https://track.example.com/9/24343384
12,551b7991-020b-4cce-a265-fc6b41968a85,12,104459.89,2024-02-14,2024-02-21,https://track.example.com/12/1748d3ca
13,7d0ed4fd-7049-46f1-98ea-f9ab389f55eb,2,167282.74,2024-12-05,2025-01-09,https://track.example.com/2/9003f8db
14,14592dad-4aae-4208-b950-3d58a82b2197,1,73675.35,2024-05-01,2024-05-22,https://track.example.com/1/7a5fa742
15,c7cd4fbc-55e2-47c1-9414-079a78544ce0,2,75782.97,2024-06-07,2024-07-26,https://track.example.com/2/44982a3d
16,e0ed8c06-004c-4908-8cf8-6ef34d771052,8,90868.13,2024-09-17,2024-10-08,https://track.example.com/8/86b992c2
17,eecf49e3-cb9e-48e1-9e6c-3611c948c410,2,64384.21,2024-04-03,2024-05-08,https://track.example.com/2/0c9c0398
18,eb5c7219-2c29-4c73-810b-968a92207ece,9,95928.63,2025-01-01,2025-01-22,https://track.example.com/9/b460f9ee
19,e52d809c-a301-4e6b-af4e-e257c6769648,9,7214.01,2024-10-24,2024-12-12,https://track.example.com/9/f14d0f9c
20,9f17e8eb-492a-4e9a-abe2-6b3565e8ee83,12,52690.3,2025-09-25,2025-10-02,https://track.example.com/12/d8240daa
21,1306104d-10cd-415c-9ad4-e66bbc837ea2,3,8452.75,2025-10-01,2025-11-12,https://track.example.com/3/eedb99be
22,d2085f74-89ce-4a86-953f-be703343eb93,5,57477.88,2024-04-21,2024-06-02,https://track.example.com/5/6031e7a6
23,c715e95d-23d4-4c20-aca9-197e58648e92,8,163567.85,2024-04-06,2024-05-04,https://track.example.com/8/a295e256
24,f5e353a8-8e3c-4d48-9a84-9e189e6cc9c8,2,35992.94,2025-07-26,2025-08-09,https://track.example.com/2/f98a2e3b
25,bd9f3b1f-fcc1-44e7-afb1-1ce1b13c9f3d,5,108046.56,2024-03-20,2024-04-24,https://track.example.com/5/9d02adb9
26,7c23b6aa-b158-4206-a550-af2294451486,7,9532.57,2024-08-22,2024-10-10,https://track.example.com/7/fbdf4b1c
27,970569d5-d63f-49b5-975b-f29882528e62,6,184411.32,2025-09-14,2025-10-26,https://track.example.com/6/0a0023fd
28,db14a745-122f-4af3-9700-9147e6a0f5d2,6,171747.11,2024-12-17,2025-02-11,https://track.example.com/6/d817281f
29,543ce5d5-a7ca-4e16-b24a-1135711cd3c3,1,71231.13,2024-12-20,2025-02-14,https://track.example.com/1/66be7b56
30,16832957-0f19-40b8-bc8a-f2af9c09d8cf,5,176236.24,2024-05-22,2024-06-26,https://track.example.com/5/f911c445
31,a56bb39c-c1ba-4e1f-bed0-9ec629387152,12,20351.79,2024-05-29,2024-06-05,https://track.example.com/12/33001b4c
32,dc8929c8-e4cc-4c2a-a094-989fbbb77c3e,1,167391.6,2024-04-05,2024-05-24,https://track.example.com/1/b03da572
33,22a45ffb-db7c-4197-9207-506f0d17ec69,10,51492.55,2025-02-24,2025-03-17,https://track.example.com/10/fbfb11df
34,cbf6903f-60cb-4d83-8f22-e48083461598,2,78276.78,2024-11-30,2025-01-18,https://track.example.com/2/65cc456e
35,e16d7e00-a205-48dd-93cb-840cf9918dc7,1,43108.73,2024-11-28,2024-12-12,https://track.example.com/1/83a2b6f9
36,47e4ffa0-bb4b-4d52-8584-73d1a9d71c1e,2,199029.62,2024-09-21,2024-10-12,https://track.example.com/2/81ec3313
37,463d1126-ae41-4277-922d-c68f3c12a84b,10,156381.38,2025-09-26,2025-11-14,https://track.example.com/10/82a010ba
38,b863e643-88fa-4216-9d64-828ea7a76d21,12,100737.75,2024-02-07,2024-02-14,https://track.example.com/12/93f67706
39,cbd036ee-1082-4d5a-8627-64ccaa8fde9a,2,74335.89,2024-12-01,2025-01-26,https://track.example.com/2/c2461e66
40,1aab5fe0-3edc-4802-ad4a-deef6bd18dee,3,40118.02,2024-12-04,2025-01-22,https://track.example.com/3/35488975
41,17e0724a-2833-46d6-a363-f4bc9e1dfc69,7,179082.06,2024-10-17,2024-12-12,https://track.example.com/7/0674574e
42,8c458d1c-84ad-4bfc-8447-72beedb3096b,12,167444.45,2025-09-23,2025-10-07,https://track.example.com/12/20788953
43,05f55cce-3b0d-4fd5-878a-2b9acbc3e40b,10,174385.95,2025-04-12,2025-05-24,https://track.example.com/10/50c18246
44,ceceb206-287a-485e-9144-93c2ab88b49a,10,26659.57,2025-11-10,2025-11-17,https://track.example.com/10/5f4f4e6f
45,0f33cbe8-3523-4314-9e2c-0bde4fb57f2b,10,120510.08,2025-07-17,2025-07-24,https://track.example.com/10/4ff53b54
46,cec82929-4325-46b4-9a99-b016fb0924d4,7,171033.54,2024-03-03,2024-04-14,https://track.example.com/7/d1dcb793
47,8eb22a8b-fc38-4dc2-84b4-6212b5746773,7,146366.61,2024-05-11,2024-06-29,https://track.example.com/7/19168d62
48,b2db76d8-cfa5-4715-aa83-4548d2731f8c,1,22109.04,2024-12-14,2024-12-28,https://track.example.com/1/88b07a9c
49,4760f2c0-3d03-4dd6-b0d3-21ef74ed8935,9,163058.23,2024-09-11,2024-09-18,https://track.example.com/9/3790f901
50,e474818f-720f-4863-b7ab-4f6d96d2e807,1,57440.93,2024-09-01,2024-09-29,https://track.example.com/1/aeae6a52
51,93df1bae-ab09-490a-97ed-7871c77883d5,7,125990.57,2025-05-10,2025-07-05,https://track.example.com/7/f8f05c3c
52,f0b47cab-82d0-4ecd-9575-8fae6f37e407,12,86706.98,2025-03-06,2025-05-01,https://track.example.com/12/7b479f29
53,6fb3e30b-d092-4417-a115-d58719bdefa6,1,13530.49,2024-10-27,2024-11-10,https://track.example.com/1/ef2f0d8f
54,e1deeb58-55a8-4c05-804c-59e8d0d72026,1,132185.18,2025-09-29,2025-10-13,https://track.example.com/1/78ff2aa9
55,6c74d5cc-22d4-4430-9d09-dd5c16fd199e,8,37665.45,2025-07-30,2025-09-17,https://track.example.com/8/eb30c603
56,f709c68b-5698-43a7-90e0-164d44cead86,6,70229.63,2025-06-23,2025-08-04,https://track.example.com/6/3aece61e
57,4f01c816-c91b-48cb-b10f-5a29f971185c,1,53870.59,2025-10-08,2025-12-03,https://track.example.com/1/6236d64a
58,64ee4f83-35be-4a32-8cd3-37e9cccbb962,8,133805.62,2024-10-16,2024-10-30,https://track.example.com/8/c9430430
59,2abec88d-e6eb-4d30-841e-72591baf84e7,11,190293.99,2024-02-24,2024-03-23,https://track.example.com/11/1d5b34ef
60,ae21356a-7312-47c1-8a4a-7437ec9990da,6,47708.43,2025-05-19,2025-05-26,https://track.example.com/6/2d72e6fe
