,book,author,price
0,กาหลมหรทึก (ฉบับครบรอบ 10 ปี),ปราปต์,283.50 บาท
1,บ้านซ่อนศพ,สาววายรำพัน,180.00 บาท
2,โอปปาติกะอำพราง,กิตติศักดิ์ คงคา,270.00 บาท
3,Boxset ชุด 7 วันจองเวร,ภาคินัย,"2,025.00 บาท"
4,ฆาตกรรมปริศนาโรงแรมสีเลือด,หลี่ป๋อชิง,355.50 บาท
5,12 ขั้น บันไดผี (ชุด 7 วันจองเวร  เล่ม 5),ภาคินัย,238.50 บาท
6,อาถรรพ์เรือนลั่นทม (ชุด 7 วันจองเวร  เล่ม 3),ภาคินัย,238.50 บาท
7,ตีตั๋วไปตาย (ชุด 7 วันจองเวร เล่ม 4),ภาคินัย,238.50 บาท
8,ศพ-เซ่น-ศาล (ชุด 7 วันจองเวร เล่ม 7),ภาคินัย,238.50 บาท
9,กระจกสั่งตาย (ชุด 7 วันจองเวร เล่ม 2),ภาคินัย,238.50 บาท
10,ห้องคลอดมรณะ (ชุด 7 วันจองเวร เล่ม 1),ภาคินัย,238.50 บาท
11,ท้าคนเป็น เห็นคนตาย (ชุด 7 วันจองเวร เล่ม 6),ภาคินัย,238.50 บาท
12,Vbox คนสองวิญญาณ,สรจักร,490.50 บาท
13,คนสองวิญญาณ,สรจักร,265.50 บาท
14,รักซ้อนซ่อนตาย,นวารา,351.00 บาท
15,วิญญาณครวญ,สรจักร,229.50 บาท
16,ศพท้ายรถ,สรจักร,229.50 บาท
17,ศพข้างบ้าน,สรจักร,229.50 บาท
18,ศพใต้เตียง,สรจักร,229.50 บาท
19,คดีหลอนลิฟต์ซ่อนศพ,ภาคินัย,292.50 บาท
20,คดีปริศนากับนัยน์ตาสืบวิญญาณ,ลอยชาย,292.50 บาท
21,แค้นตุ๊กตา,มายาจันทร์,351.00 บาท
22,บิงโก เกมฆาตกร ตอนที่ 5 เกมโอเวอร์ (จบ),ปราปต์,328.50 บาท
23,หลุยส์ เลตเทรย์ ๓ แท่นพิมพ์แห่งอนันตกาล,พี.ซี.,279.00 บาท
24,ปางปอบ,ทศพล,304.00 บาท
25,การิน ปริศนาคดีอาถรรพ์ คดีที่ 3  (Mg) เกมลองของ สวนสนุกต้องสาป,อัยย์,212.00 บาท
26,การิน ปริศนาคดีอาถรรพ์ คดีที่ 4 (Mg) พิพิธภัณฑ์คนบาป,อัยย์,314.00 บาท
