,book,author,price
0,โฟร์ทวิง,รีเบกกา ยาร์รอส,506.00 บาท
1,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 7 บาร์ใหม่,เอ่อร์เกิน Er Gen,269.10 บาท
2,ผนึกสวรรค์ สยบมาร สะท้านเทพ  เล่ม 4 บาร์ใหม่,เอ่อร์เกิน Er Gen,292.50 บาท
3,ผนึกสวรรค์ สยบมาร สะท้านเทพ  เล่ม 5 บาร์ใหม่,เอ่อร์เกิน Er Gen,314.10 บาท
4,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 6 บาร์ใหม่,เอ่อร์เกิน Er Gen,260.10 บาท
5,โลกพิศวงที่ฝั่งตรงข้ามซุ้มประตูโทริอิ,ยูมะ มิโดริ,306.00 บาท
6,สกันดาร์กับบททดสอบเคออส,A.F. Steadman,445.50 บาท
7,สุดเส้นเมฆขาวยาวเงิน,กิตติศักดิ์ คงคา,225.00 บาท
8,The Master of Witharia Book Two ตอน ฤดูกาลแห่งการเฉลิมฉลอง,กัลฐิดา,216.00 บาท
9,มุมมองนักอ่านพระเจ้า เล่ม 22,sing N song,319.50 บาท
10,มุมมองนักอ่านพระเจ้า เล่ม 23 (เล่มจบ),sing N song,427.50 บาท
11,The Ogress and the Orphans นางยักษ์กับเด็กกำพร้า,เคลลี่ บาร์นฮิล (Kelly Barnhill),315.00 บาท
12,LEGENDS&LATTES ตำนานและลาเต้,Travis Baldree,328.50 บาท
13,คริสต์มาสที่ฮอกวอตส์,J.K. Rowling (เจ. เค. โรว์ลิง),765.00 บาท
14,Boxset ห้องสมุดฮอกวอตส์ (2024),J.K. Rowling (เจ. เค. โรว์ลิง),"1,755.00 บาท"
15,เนโครแมนเซอร์แห่งสถานีโซล เล่ม 2  Necromancer of Seoul Station,Jin Seolwoo,445.50 บาท
16,เนโครแมนเซอร์แห่งสถานีโซล เล่ม 1  Necromancer of Seoul Station,Jin Seolwoo,436.50 บาท
17,ดาราหลับฝันตะวันผจญ,"Rick Riordan, Mark Oshiro",440.10 บาท
18,ยอดสถาปนิกผู้พิทักษ์อาณาจักร เล่ม  9,BK_Moon,280.00 บาท
19,เพอร์ซีย์ แจ็กสัน 6 กับถ้วยแห่งทวยเทพ,Rick Riordan (ริค ไรออร์แดน),269.10 บาท
20,ยอดสถาปนิกผู้พิทักษ์อาณาจักร เล่ม 8,BK_Moon,288.00 บาท
21,The Poppy war สงครามดอกฝิ่น,อาร์.เอฟ.ควง (R.F.Kuang),535.50 บาท
22,ปล่อยแม่มดคนนั้นซะ  เล่ม 26 (เล่มจบ),Er Mu,373.00 บาท
23,เชื้อนรกล้างซอมบี้,เอ็ม.อาร์ แครีย์,333.00 บาท
24,THE BOY ON THE BRIDGE เชื้อซอมบี้ล้างพันธุ์มนุษย์,เอ็ม.อาร์ แครีย์,342.00 บาท
25,แฮร์รี่พอตเตอร์กับศิลาอาถรรพ์ Popup(ปกแข็ง),J.K. Rowling (เจ. เค. โรว์ลิง),"1,440.00 บาท"
26,ฟาห์เรนไฮต์ 451 (ฉบับปรับปรุง),เรย์ แบรดเบอรี,256.50 บาท
