,book,author,price
0,เดิมพันสัญญารัก,ณกาณฑ์,270.00 บาท
1,อุ้มบุญชุลมุนรัก,ณารา,324.00 บาท
2,Hello Stalker วายร้ายตามรัก,Way'h,378.00 บาท
3,My Juliette Has A Gun จูเลียตของผมเป็นนักฆ่า,ชญาน์พิมพ์,297.00 บาท
4,กาลนิทราชาเลต์,ภัสรสา,427.50 บาท
5,รัก (ป้า) ข้างบ้าน,ดวงตะวัน,405.00 บาท
6,สาวเอย จงอยู่จนกว่าศัตรูจะตายเรียบ!,ฝันเอ้อระเหย,558.00 บาท
7,บ่วงรักคลุมถุงชน,กัณฑ์กนิษฐ์,278.10 บาท
8,คนนี้เป็นของวายร้าย (ยิ่งกว่ารัก),กานต์มณี,251.10 บาท
9,ดุจจันทร์ดั้นเมฆ,หอมดึก,361.80 บาท
10,วานวาสนา,ร่มเกศ,408.60 บาท
11,เมฆเคียงขวัญ ตะวันเคียงฟ้า,จรสจันทร์,342.00 บาท
12,บังเอิญแอบรักเธอเข้าพอดี,วาณี,234.00 บาท
13,ดวงใจภาดา,ตวงทิพย์ ยุวชิต,216.00 บาท
14,Not Daddy ไม่ใช่สามี ไม่ใช่พ่อ,พัพพุ,225.00 บาท
15,ท่านชายแห่งเชคกา,กัณฑ์กนิษฐ์,278.10 บาท
16,คนนี้เป็นของมาเฟีย (ยิ่งกว่ารัก),กานต์มณี,251.10 บาท
17,ร่องรอยแห่งรักเรา,คอลลีน ฮูเวอร์,324.00 บาท
18,ทับทิมกินรี,แก้วเก้า,535.50 บาท
19,ร้ายเดียงสา,โสภี พรรณราย,432.00 บาท
20,ฝนล้านฤดู,ปราปต์,333.00 บาท
21,ลุ่มหลงพยัคฆ์,มนต์มิถุนา,333.00 บาท
22,สายฟ้าอัคนี,ดวงตะวัน,405.00 บาท
23,เพื่อนรักคนพาล,กัณฑ์กนิษฐ์,287.10 บาท
24,ข้าได้สามีใหม่หลังทิ้งใบหย่า,คลุมพิรุณ,369.00 บาท
25,เมื่อเพื่อนนางร้ายไม่อยากตายอีกรอบ,เสวี่ยเฟิ่ง,567.00 บาท
26,ศิษย์ได้ดีเพราะมีสามีสั่งสอน,ประตูฟ้ายั่งยืน,297.00 บาท
27,ยอดดวงใจมหาสมุทร,ปรากฏการณ์,450.00 บาท
28,คนนี้ของท่านประธาน (ยิ่งกว่ารัก),กานต์มณี,251.10 บาท
29,ทัณฑ์กามเทพ,ชูวงศ์ ฉายะจินดา,360.00 บาท
30,วิธีฝึกสามีให้เชื่อง เล่ม 5 (จบ),LACHIK,238.50 บาท
31,วิลาศร้อยชั่ง,เรริ,243.00 บาท
32,กรุ่นรักฉบับลัด(ฟ้า),คิมรยูฮยอน,306.00 บาท
