,book,author,price
0,คุณหมอครับ ผมอยากเป็นแฟนกับคุณ เล่ม 1,Xi nan hua,432.00 บาท
1,คุณหมอครับ ผมอยากเป็นแฟนกับคุณ เล่ม 3,Xi nan hua,432.00 บาท
2,คุณหมอครับ ผมอยากเป็นแฟนกับคุณ เล่ม 4 จบ,Xi nan hua,432.00 บาท
3,ดาวเคราะห์ Planeta,อนนา ออนซินา (Ana Oncina Tortosa),378.00 บาท
4,ใต้ต้นกันเกรา เล่ม 3 (ใหม่),hooliganis (ฮูลิกานิส),314.10 บาท
5,รักครั้งใหม่ของนายเลี้ยงเดียว,นายพินต้า,315.00 บาท
6,ชุด พันธนาการรักใต้ทะเลลึก เล่ม 1-2 (จบ),เมรีอูอุล,738.00 บาท
7,Mr. Fanboy #รักสุดใจนายแฟนบอย,littlebbear96,288.00 บาท
8,ชุด อยู่ดีๆ ก็มีเจ้านายเป็นฮันเตอร์ระดับ S-Class เล่ม 1-2 (จบ),แอซงอีซูพือ,702.00 บาท
9,ไม่มีตัวอย่างให้ดูก่อนคบ,JittiRain,431.10 บาท
10,ชุดลาสต์บอสตัวร้ายในนิยายคือสามีของผม (2 เล่มจบ),Vincent Venus,863.10 บาท
11,ปีนั้น เกราะเหล็กสะท้านราชัน เล่ม 2,ปู้เหลียนอี,445.50 บาท
12,เล่ห์รักจอมโจร เล่ม 4,อวี่เซี่ยวหลานซาน,436.50 บาท
13,เพลิงผลาญโศก เล่ม 3,Priest (พีต้า),382.50 บาท
14,สิ้นแสงอนธการ เล่ม 5,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),400.50 บาท
15,บำเพ็ญเพียรเป็นเซียนด้วยภาษา C เล่ม 3 จบ,อีสือซื่อโจว,445.50 บาท
16,อัลฟ่าต้อง (ห้าม) รัก เล่ม 2 (เล่มจบ),ฉือจ่งจา,382.50 บาท
17,ฮนบุล แสงไฟแห่งดวงวิญญาณ เล่ม 6,toldju,409.50 บาท
18,เพลิงผลาญโศก เล่ม 2,Priest (พีต้า),355.50 บาท
19,กลายเป็นท่านเทพในเกมสยองขวัญ เล่ม 14,หูอวี๋ล่าเจียว,418.50 บาท
