system_event_id,user_id,event_type,timestamp,registration_date,last_login_date
1,1,register,2024-03-23T06:20:20.373050,2024-03-23,
2,1,login,2024-03-24T05:20:20.373050,,2024-03-24
3,1,logout,2024-03-24T06:36:20.373050,,
4,1,login,2024-03-29T04:36:20.373050,,2024-03-29
5,1,logout,2024-03-29T05:48:20.373050,,
6,1,login,2024-04-05T03:48:20.373050,,2024-04-05
7,1,logout,2024-04-05T05:15:20.373050,,
8,1,login,2024-04-08T16:15:20.373050,,2024-04-08
9,1,logout,2024-04-08T17:23:20.373050,,
10,1,login,2024-04-12T21:23:20.373050,,2024-04-12
11,1,logout,2024-04-12T22:29:20.373050,,
12,1,login,2024-04-13T19:29:20.373050,,2024-04-13
13,1,logout,2024-04-13T20:23:20.373050,,
14,1,login,2024-04-16T07:23:20.373050,,2024-04-16
15,1,logout,2024-04-16T08:06:20.373050,,
16,1,login,2024-04-19T06:06:20.373050,,2024-04-19
17,1,logout,2024-04-19T07:14:20.373050,,
18,1,login,2024-04-24T06:14:20.373050,,2024-04-24
19,1,logout,2024-04-24T07:31:20.373050,,
20,1,login,2024-04-30T06:31:20.373050,,2024-04-30
21,1,logout,2024-04-30T07:33:20.373050,,
22,1,login,2024-05-02T21:33:20.373050,,2024-05-02
23,1,logout,2024-05-02T22:03:20.373050,,
24,1,login,2024-05-03T21:03:20.373050,,2024-05-03
25,1,logout,2024-05-03T22:46:20.373050,,
26,1,login,2024-05-04T21:46:20.373050,,2024-05-04
27,1,logout,2024-05-04T23:04:20.373050,,
28,1,login,2024-05-09T17:04:20.373050,,2024-05-09
29,1,logout,2024-05-09T19:01:20.373050,,
30,1,login,2024-05-13T13:01:20.373050,,2024-05-13
31,1,logout,2024-05-13T14:03:20.373050,,
32,1,login,2024-05-17T14:03:20.373050,,2024-05-17
33,1,logout,2024-05-17T14:39:20.373050,,
34,1,login,2024-05-18T07:39:20.373050,,2024-05-18
35,1,logout,2024-05-18T09:07:20.373050,,
36,1,login,2024-05-21T14:07:20.373050,,2024-05-21
37,1,logout,2024-05-21T15:58:20.373050,,
38,1,login,2024-05-25T04:58:20.373050,,2024-05-25
39,1,logout,2024-05-25T05:28:20.373050,,
40,1,login,2024-05-30T06:28:20.373050,,2024-05-30
41,1,logout,2024-05-30T08:19:20.373050,,
42,1,login,2024-05-30T23:19:20.373050,,2024-05-30
43,1,logout,2024-05-31T01:11:20.373050,,
44,1,login,2024-06-05T10:11:20.373050,,2024-06-05
45,1,logout,2024-06-05T10:50:20.373050,,
46,1,login,2024-06-10T19:50:20.373050,,2024-06-10
47,1,logout,2024-06-10T21:46:20.373050,,
48,1,login,2024-06-12T00:46:20.373050,,2024-06-12
49,1,logout,2024-06-12T01:18:20.373050,,
50,1,login,2024-06-12T22:18:20.373050,,2024-06-12
51,1,logout,2024-06-12T22:55:20.373050,,
52,1,login,2024-06-15T07:55:20.373050,,2024-06-15
53,1,logout,2024-06-15T09:14:20.373050,,
54,1,login,2024-06-19T20:14:20.373050,,2024-06-19
55,1,logout,2024-06-19T21:31:20.373050,,
56,2,register,2024-05-31T18:08:13.747379,2024-05-31,
57,2,login,2024-06-01T03:08:13.747379,,2024-06-01
