promotion_id,book_id,publisher_id,promotion_budget,promotion_start_date,promotion_end_date
1,c2120b9c-990f-45fc-aa30-21c02652967f,20,301646.74,2025-10-14,2025-10-21
2,ed359a9d-2f85-4e0f-83a4-c3b591b0b4b4,20,138276.28,2024-09-21,2024-11-16
3,1c419e2f-fec9-4c55-9c35-3684e72a8fea,14,181527.89,2024-08-23,2024-10-04
4,d2e9767d-0e3b-4d7c-a255-70c802351413,34,367241.07,2024-05-24,2024-06-28
5,0d14585e-c17c-4360-a801-9fccae1235d0,8,181421.52,2024-10-29,2024-11-12
6,209d4ccb-2d0a-420a-8b7a-d4194aafef18,17,148245.56,2024-11-03,2024-12-29
7,62caad9d-f4c4-4602-af30-8e511557a48b,22,119527.16,2025-09-09,2025-10-07
8,0be263e1-0380-42a9-9964-e4463174b167,13,66781.82,2025-06-06,2025-06-13
9,1e2d662e-8b49-437c-aad0-1c23a7be8ca6,51,38980.6,2024-08-10,2024-09-28
10,39fead6c-fc55-46df-bf25-41e659989fb6,34,459629.86,2024-07-24,2024-08-21
11,8e56106b-3560-44ed-8bb4-d1191a0ad026,33,239844.96,2024-07-05,2024-08-23
12,b2d1e6a1-64dc-4b0a-b433-e975a03350b1,5,179550.06,2025-07-01,2025-07-22
13,928b3731-d345-467b-8dfb-adfe03be1a32,31,102168.13,2024-06-27,2024-08-22
14,8538952a-6fb3-4e63-b767-5194479e53ba,21,343714.25,2024-10-19,2024-12-07
15,91cfca0f-efb7-44ac-be89-10ad24cc4181,29,347297.2,2024-11-16,2024-12-07
16,c9e5068e-200c-4826-98ee-24150066c57f,14,463658.18,2025-02-22,2025-04-05
17,c601bc27-118f-4361-83c0-52ccf1b29797,4,55255.95,2024-08-19,2024-10-14
18,61e49e33-aa69-470d-9701-caec338093e8,28,344351.74,2025-08-01,2025-08-15
19,10e22de1-c473-4381-890b-f2c6adc452a5,25,250799.19,2024-07-11,2024-08-15
20,4cf580dc-ba72-47ed-98de-ff29f7b5f07f,11,298282.48,2025-05-05,2025-06-30
21,56da9143-a295-47a3-bd3c-0a6b4a3083d5,15,108900.57,2025-02-11,2025-02-25
22,21b6ec1b-80a7-40e5-af2a-4deb58388bed,39,289917.92,2025-02-09,2025-03-02
23,f654c981-fe91-49f0-87b4-b751e8742f7c,22,31065.85,2025-01-20,2025-03-10
24,356209c3-b270-4da0-983b-0a39d37a6620,3,60521.94,2025-08-24,2025-08-31
25,3b406b24-69ee-4219-b085-14d0a2c8d7a8,15,290832.52,2025-06-29,2025-08-10
26,8b7f13a8-74f8-443d-b7f3-94cf46985934,46,173488.42,2025-06-28,2025-07-26
27,121e4db6-8dbf-4445-960b-db6a3a032c4d,39,207751.38,2024-04-07,2024-04-21
28,96dfba1a-4b2e-4963-b255-c6b044843da4,11,327022.79,2025-06-18,2025-07-23
29,5bc28e88-09c4-4115-92b1-3dcce777c0e7,50,260767.89,2025-02-03,2025-03-10
30,f03e81a6-395e-4745-8b84-ef8164ba4044,24,221830.01,2025-09-26,2025-11-21
31,8ee5024d-61fe-4fe1-90b8-ad0af03c1b12,22,319379.18,2025-07-28,2025-09-08
32,769be30b-7767-47a3-b4ba-e2e068eda34b,9,472996.69,2025-08-07,2025-09-18
33,89de5eba-b73e-48f1-97a6-9413087f053e,10,40371.27,2024-04-23,2024-04-30
34,75d07d71-7f98-4927-9c4b-82d0afbd28cb,35,306555.34,2025-08-20,2025-10-15
35,6cff9f26-5068-4699-81ed-876ccecd2653,20,266764.06,2025-11-09,2025-11-23
36,6ad82044-af33-4d37-b78b-fe64af9b905b,30,12122.41,2024-07-11,2024-09-05
37,a55bdf77-6888-4d08-9283-dd1f4b1a0a6c,22,406388.17,2024-12-02,2025-01-06
38,eb47e941-ed7a-4e53-81c2-50e152921dcd,32,381471.97,2024-09-29,2024-10-27
39,87c1e2f2-da76-4625-9b03-93fdc6ba3c68,7,46085.09,2024-06-12,2024-07-31
40,1b833b7c-fb04-463b-af66-424fbb8787fc,34,253874.86,2024-08-10,2024-08-17
41,6ad82044-af33-4d37-b78b-fe64af9b905b,37,126652.04,2025-03-20,2025-04-03
42,823918b4-12b1-4afb-9b0f-ea69bf2cf301,22,290336.68,2025-05-18,2025-06-01
43,eca38e01-2803-4ea8-8200-72aff7e5a1d3,29,236665.11,2024-01-24,2024-02-14
44,b3823a7d-7cad-4931-84b2-a7235411d9a4,10,282335.64,2024-02-18,2024-03-31
45,e19484fd-340a-4325-be68-d89268cf0b61,14,114400.52,2025-03-11,2025-04-29
