user_id,genre_id,preference_score
1,96,4
1,41,2
1,75,1
1,55,1
1,32,3
2,31,1
2,14,5
2,115,5
3,21,3
3,31,5
3,7,3
3,105,1
3,56,1
4,105,5
4,69,1
4,13,2
5,39,1
5,71,1
5,48,2
5,92,1
5,12,5
7,39,3
7,10,1
7,91,5
9,58,2
9,6,5
10,55,4
10,9,5
10,82,4
10,71,2
12,98,5
12,9,5
12,37,5
13,111,2
13,110,1
13,2,3
13,27,2
13,86,3
14,33,3
14,28,2
14,93,1
14,27,1
14,40,4
15,9,1
15,112,3
15,6,4
15,104,1
16,2,3
16,81,1
19,16,3
19,31,3
19,44,4
20,18,2
20,7,2
20,93,2
20,61,5
22,55,4
22,97,2
22,111,1
22,89,4
23,102,5
23,100,5
23,10,5
23,91,5
23,67,4
25,63,3
25,55,1
25,61,2
25,95,5
25,57,4
26,85,5
26,10,5
26,17,1
26,102,5
26,28,5
27,79,2
27,59,1
27,83,3
28,29,5
28,5,3
28,36,3
28,47,3
28,15,5
29,66,4
29,104,2
29,107,3
29,11,1
29,83,5
30,64,4
30,75,3
31,32,1
31,81,3
32,104,2
32,41,5
32,66,1
32,43,5
32,80,3
33,85,2
33,51,1
33,93,3
34,106,2
34,40,5
34,77,2
34,25,4
35,87,3
35,73,3
36,53,5
36,30,3
37,115,4
37,59,1
37,2,3
37,18,2
37,7,4
38,24,3
38,8,3
38,88,3
38,115,3
39,87,3
39,41,1
39,35,4
40,59,5
40,60,5
40,90,5
40,65,2
40,112,2
41,98,1
41,5,4
42,87,3
42,86,1
42,2,5
43,64,2
43,98,3
43,9,4
43,16,1
44,47,1
44,86,3
44,63,1
44,69,1
44,89,3
45,53,3
45,62,3
45,11,2
45,67,4
45,54,2
46,39,3
46,106,5
46,64,5
46,8,4
47,11,5
47,15,4
47,104,4
47,3,1
47,16,2
49,21,1
49,42,3
49,60,3
50,101,4
50,97,2
50,4,2
51,108,5
51,49,5
51,85,5
51,55,4
52,77,2
52,104,1
52,87,3
52,8,2
53,103,4
53,60,5
54,34,5
54,52,2
54,108,3
55,3,1
55,37,2
55,110,1
55,68,1
55,16,5
56,99,3
56,37,3
56,32,4
56,18,3
56,11,1
57,22,3
57,60,5
58,115,4
58,105,1
59,32,2
59,35,4
60,26,3
60,94,4
60,108,4
60,20,3
61,105,3
61,102,2
62,18,2
62,41,2
62,12,1
62,113,1
62,84,3
64,14,5
64,82,1
64,9,2
64,15,1
65,2,4
65,63,5
65,14,2
65,32,1
65,95,1
66,112,3
